symbol,k_entry,k_tp,k_sl,trades,win_rate,e_pnl_net,e_pnl_gross,sharpe,profit_factor,plateau_robust
BTC/USDT,1.5,1.0,0.5,1733,0.14829774956722447,-0.001983290536629139,-8.329053662913927e-05,-243.1917465817154,0.06208338150527662,False
BTC/USDT,1.5,1.0,1.0,1708,0.21955503512880561,-0.0020032060697794114,-0.0001032060697794116,-172.04027431024195,0.08938941672713659,False
BTC/USDT,1.5,1.0,1.5,1685,0.26468842729970327,-0.0019508810391436738,-5.0881039143673596e-05,-138.86837592158332,0.10753516320214818,False
BTC/USDT,1.5,1.5,0.5,1713,0.18622300058377117,-0.0018982597260840243,1.7402739159754707e-06,-188.20828541680655,0.133249693765953,False
BTC/USDT,1.5,1.5,1.0,1680,0.2845238095238095,-0.001912504467825381,-1.2504467825381393e-05,-136.91559365114995,0.18625381364991314,False
BTC/USDT,1.5,1.5,1.5,1653,0.34785238959467635,-0.0018673805028276676,3.261949717233246e-05,-112.45507132767372,0.2201369847116908,False
BTC/USDT,1.5,2.0,0.5,1691,0.17622708456534594,-0.0018487851415423771,5.121485845762286e-05,-158.93972760257287,0.18436195003603625,False
BTC/USDT,1.5,2.0,1.0,1645,0.2735562310030395,-0.001879752445380466,2.024755461953399e-05,-118.9488543715753,0.2500829298208658,False
BTC/USDT,1.5,2.0,1.5,1612,0.3337468982630273,-0.0018586567751567823,4.134322484321791e-05,-100.24785862673735,0.28669390357348834,False
BTC/USDT,2.0,1.0,0.5,941,0.12327311370882041,-0.0021160562749122447,-0.00021605627491224478,-279.2838708597879,0.04191196150731348,False
BTC/USDT,2.0,1.0,1.0,934,0.2044967880085653,-0.0021112554867462855,-0.00021125548674628562,-183.82430138898437,0.07413897724032471,False
BTC/USDT,2.0,1.0,1.5,926,0.2526997840172786,-0.0020497718172062048,-0.00014977181720620476,-145.35597350477374,0.09275474248143464,False
BTC/USDT,2.0,1.5,0.5,939,0.16826411075612355,-0.0020042552444000995,-0.00010425524440009933,-211.3146465644242,0.10832826425351383,False
BTC/USDT,2.0,1.5,1.0,929,0.2723358449946179,-0.001981655569726485,-8.165556972648477e-05,-143.41030932114066,0.1739420093175433,False
BTC/USDT,2.0,1.5,1.5,921,0.34419109663409336,-0.0018946870325363939,5.312967463605894e-06,-113.85369750162397,0.21554048441432624,False
BTC/USDT,2.0,2.0,0.5,930,0.16021505376344086,-0.0019461886619252388,-4.6188661925238646e-05,-173.46160084557573,0.1640668170039423,False
BTC/USDT,2.0,2.0,1.0,912,0.2708333333333333,-0.0019171621767436402,-1.7162176743640278e-05,-120.67787980007013,0.2489333716106357,False
BTC/USDT,2.0,2.0,1.5,902,0.3370288248337029,-0.0018726090139060058,2.7390986093994136e-05,-99.59541094034597,0.29224296283591933,False
BTC/USDT,2.5,1.0,0.5,561,0.11764705882352941,-0.002102138907539382,-0.0002021389075393826,-280.5820949916227,0.04211674189409351,False
BTC/USDT,2.5,1.0,1.0,560,0.18928571428571428,-0.002103209317039069,-0.0002032093170390692,-187.24210098483297,0.07128717085815083,False
BTC/USDT,2.5,1.0,1.5,558,0.23835125448028674,-0.0020873091773122064,-0.000187309177312206,-149.67578310568908,0.08535349892999053,False
BTC/USDT,2.5,1.5,0.5,561,0.1746880570409982,-0.001979812221404808,-7.981222140480814e-05,-209.08294144452262,0.10942883203779247,False
BTC/USDT,2.5,1.5,1.0,558,0.2777777777777778,-0.0019616888555513885,-6.168885555138834e-05,-144.06763250940125,0.1701893547571841,False
BTC/USDT,2.5,1.5,1.5,555,0.35315315315315315,-0.0019432783342749117,-4.327833427491187e-05,-117.69447349530168,0.20381754116900744,False
BTC/USDT,2.5,2.0,0.5,555,0.16036036036036036,-0.0019272248770190958,-2.722487701909588e-05,-171.95794770824392,0.1654100586595527,False
BTC/USDT,2.5,2.0,1.0,548,0.2773722627737226,-0.0018876610692386338,1.2338930761366136e-05,-119.05784768730011,0.25203110932951933,False
BTC/USDT,2.5,2.0,1.5,543,0.34990791896869244,-0.0019138985016203902,-1.3898501620390246e-05,-101.79822662199125,0.2865442100058419,False
BTC/USDT,3.0,1.0,0.5,348,0.10632183908045977,-0.0021515136143210227,-0.00025151361432102285,-301.2976093263219,0.03478028939697788,False
BTC/USDT,3.0,1.0,1.0,348,0.1752873563218391,-0.0021474762113974366,-0.00024747621139743645,-195.941932417064,0.06336760304750917,False
BTC/USDT,3.0,1.0,1.5,347,0.2276657060518732,-0.0021424063481211546,-0.00024240634812115462,-156.36141979784347,0.07654276196459657,False
BTC/USDT,3.0,1.5,0.5,348,0.1839080459770115,-0.002007225084671494,-0.00010722508467149424,-220.9566318804638,0.09967615265043221,False
BTC/USDT,3.0,1.5,1.0,348,0.29310344827586204,-0.0019621671706859154,-6.216717068591542e-05,-147.12843455104107,0.16383112861712876,False
BTC/USDT,3.0,1.5,1.5,347,0.3688760806916426,-0.001906465713659877,-6.465713659876946e-06,-117.65884228370632,0.2046935667642274,False
BTC/USDT,3.0,2.0,0.5,346,0.17052023121387283,-0.001937627893470556,-3.762789347055603e-05,-179.75207596353874,0.15799891135061955,False
BTC/USDT,3.0,2.0,1.0,344,0.29069767441860467,-0.0018759420458394473,2.4057954160553e-05,-121.00685836801614,0.2480354260050749,False
BTC/USDT,3.0,2.0,1.5,341,0.35777126099706746,-0.001925751271383139,-2.5751271383139083e-05,-104.30016708465938,0.2813725066292505,False
ETH/USDT,1.5,1.0,0.5,1662,0.20397111913357402,-0.0021217639037380658,-0.0002217639037380657,-193.264836393243,0.11471455721720905,False
ETH/USDT,1.5,1.0,1.0,1638,0.31807081807081805,-0.0022306241756111177,-0.0003306241756111177,-138.82771698808875,0.15933010544683768,False
ETH/USDT,1.5,1.0,1.5,1619,0.39407041383570107,-0.002142779070896327,-0.00024277907089632707,-108.55190327617004,0.1983637413575822,False
ETH/USDT,1.5,1.5,0.5,1644,0.20012165450121655,-0.0020332328471879433,-0.00013323284718794355,-151.12619236022238,0.19687487731415748,False
ETH/USDT,1.5,1.5,1.0,1603,0.3175296319401123,-0.0021248072157966846,-0.00022480721579668452,-111.82019894068024,0.2663456768048903,False
ETH/USDT,1.5,1.5,1.5,1578,0.3960709759188847,-0.0020550581819305516,-0.00015505818193055134,-89.0711656877255,0.31987778881912,False
ETH/USDT,1.5,2.0,0.5,1629,0.1780233271945979,-0.0019795930018539224,-7.959300185392205e-05,-127.09168785124743,0.2448851505145673,False
ETH/USDT,1.5,2.0,1.0,1575,0.27746031746031746,-0.0020882887176890026,-0.0001882887176890026,-97.38442793268088,0.32017482225251115,False
ETH/USDT,1.5,2.0,1.5,1538,0.3550065019505852,-0.001991527082423314,-9.152708242331411e-05,-77.63253503210862,0.3824939051705532,False
