symbol,k_entry,k_tp,k_sl,trades,win_rate,e_pnl_net,e_pnl_gross,sharpe,profit_factor,plateau_robust
BTC/USDT,1.5,1.0,0.5,1736,0.11290322580645161,-0.0021905526928916235,-0.0002905526928916236,-294.5909592917937,0.03715775962056759,False
BTC/USDT,1.5,1.0,1.0,1708,0.20550351288056207,-0.0021821300758124297,-0.00028213007581243013,-188.78159679409637,0.06986846969828277,False
BTC/USDT,1.5,1.0,1.5,1680,0.25535714285714284,-0.002131469447465152,-0.00023146944746515238,-150.22359279447892,0.0891571901776217,False
BTC/USDT,1.5,1.5,0.5,1734,0.15628604382929642,-0.002088568016665575,-0.0001885680166655752,-226.46698251453756,0.09645649964520317,False
BTC/USDT,1.5,1.5,1.0,1685,0.26884272997032643,-0.0020901938970140192,-0.00019019389701401915,-152.23442337584237,0.15927975444423964,False
BTC/USDT,1.5,1.5,1.5,1653,0.3290986085904416,-0.0020804829668171067,-0.00018048296681710653,-125.49305968947088,0.19011381628392146,False
BTC/USDT,1.5,2.0,0.5,1725,0.15594202898550724,-0.0020278907919853177,-0.00012789079198531763,-191.86712843536242,0.14045992507297586,False
BTC/USDT,1.5,2.0,1.0,1669,0.2618334331935291,-0.002032639295239935,-0.0001326392952399353,-132.3298234757395,0.21937418688105312,False
BTC/USDT,1.5,2.0,1.5,1628,0.32063882063882065,-0.0020231042823637096,-0.00012310428236370958,-110.17992199762465,0.2575720403640377,False
BTC/USDT,2.0,1.0,0.5,941,0.09989373007438895,-0.002243100025463063,-0.0003431000254630634,-313.4077016719687,0.03183250504075205,False
BTC/USDT,2.0,1.0,1.0,934,0.1948608137044968,-0.0022449601227810434,-0.0003449601227810431,-197.0575258309489,0.0643939530161531,False
BTC/USDT,2.0,1.0,1.5,929,0.24865446716899892,-0.0022050096019967024,-0.00030500960199670256,-155.56230857412692,0.08197095309274358,False
BTC/USDT,2.0,1.5,0.5,941,0.14771519659936239,-0.0021100393337818036,-0.00021003933378180328,-233.49519720221434,0.08993891107778815,False
BTC/USDT,2.0,1.5,1.0,926,0.2688984881209503,-0.002086954902166644,-0.00018695490216664412,-152.47336012148403,0.15856435612935804,False
BTC/USDT,2.0,1.5,1.5,921,0.3344191096634093,-0.0020953119982204233,-0.00019531199822042335,-126.15748715105583,0.18862528721280264,False
BTC/USDT,2.0,2.0,0.5,937,0.14941302027748132,-0.002051933311058585,-0.00015193331105858496,-197.54436964765952,0.13449256556575837,False
BTC/USDT,2.0,2.0,1.0,917,0.2639040348964013,-0.0020375005907452915,-0.00013750059074529142,-133.0400532601317,0.21918684013389989,False
BTC/USDT,2.0,2.0,1.5,909,0.3234323432343234,-0.0020664001516750167,-0.00016640015167501684,-112.53013878851765,0.25280355088656836,False
BTC/USDT,2.5,1.0,0.5,561,0.08199643493761141,-0.0023008372885851723,-0.0004008372885851724,-343.8527045782218,0.023580972047678117,False
BTC/USDT,2.5,1.0,1.0,560,0.15178571428571427,-0.0024735136043913556,-0.0005735136043913559,-227.7419574615399,0.04436269703497093,False
BTC/USDT,2.5,1.0,1.5,558,0.21863799283154123,-0.0024085516419797707,-0.0005085516419797712,-171.90959137805285,0.06250027566932966,False
BTC/USDT,2.5,1.5,0.5,561,0.1408199643493761,-0.002136805828411883,-0.00023680582841188294,-245.39075144391444,0.08172273814819708,False
BTC/USDT,2.5,1.5,1.0,558,0.24910394265232974,-0.0022319937294716236,-0.00033199372947162367,-168.55288231328097,0.13482626470799136,False
BTC/USDT,2.5,1.5,1.5,555,0.3333333333333333,-0.002188210484566129,-0.00028821048456612877,-133.0955957803115,0.1743386887227837,False
BTC/USDT,2.5,2.0,0.5,560,0.1375,-0.0021168797297491868,-0.00021687972974918673,-217.33666604853306,0.1175246028506241,False
