symbol,k_vol,k_entry,k_tp,k_sl,trades,win_rate,e_pnl_gross,e_pnl_net,sharpe,profit_factor
BTC/USDT,3.0,1.5,1.0,0.5,1228,0.10912052117263844,-0.00038807607473405104,-0.002288076074734051,-308.59945303423075,0.0345092157588102
BTC/USDT,3.0,1.5,1.0,1.0,1218,0.19786535303776684,-0.0004861553307345069,-0.0023861553307345067,-201.74207022486613,0.06290683240604995
BTC/USDT,3.0,1.5,1.0,1.5,1197,0.26148705096073516,-0.0003952451366130264,-0.0022952451366130265,-154.26003043693754,0.08742062614256738
BTC/USDT,3.0,1.5,1.5,0.5,1224,0.1576797385620915,-0.0002628020179000196,-0.0021628020179000197,-232.00564739931613,0.09447152431308185
BTC/USDT,3.0,1.5,1.5,1.0,1196,0.2608695652173913,-0.0003983858562397441,-0.002298385856239744,-164.72873142253087,0.14519473970245916
BTC/USDT,3.0,1.5,1.5,1.5,1164,0.33676975945017185,-0.00037013116470734097,-0.002270131164707341,-131.00866379635866,0.18242529153992124
BTC/USDT,3.0,1.5,2.0,0.5,1212,0.1443894389438944,-0.0002491876740263544,-0.0021491876740263546,-206.7046887697468,0.12730344951990716
BTC/USDT,3.0,1.5,2.0,1.0,1178,0.24108658743633277,-0.00037664314187480294,-0.0022766431418748028,-147.0852446211651,0.1945187385736977
BTC/USDT,3.0,1.5,2.0,1.5,1143,0.3123359580052493,-0.00037602432575003104,-0.002276024325750031,-120.0366826381218,0.23526398758690478
BTC/USDT,3.0,2.0,1.0,0.5,928,0.0980603448275862,-0.0003940539393984116,-0.0022940539393984114,-326.5104001228031,0.027452685132712963
BTC/USDT,3.0,2.0,1.0,1.0,925,0.1827027027027027,-0.0005080472541383145,-0.002408047254138314,-211.60786033051028,0.053771062297684996
BTC/USDT,3.0,2.0,1.0,1.5,914,0.24945295404814005,-0.00038909906186709945,-0.0022890990618670993,-159.42644501619472,0.0789499256875885
BTC/USDT,3.0,2.0,1.5,0.5,927,0.15426105717367852,-0.000263415932074069,-0.0021634159320740687,-243.89036179395163,0.08380510982881322
BTC/USDT,3.0,2.0,1.5,1.0,914,0.2658643326039387,-0.0003604691708638077,-0.002260469170863808,-166.73944103407948,0.1392643393004385
BTC/USDT,3.0,2.0,1.5,1.5,898,0.34855233853006684,-0.00026848071411820796,-0.0021684807141182077,-128.57507081723455,0.18571195783137143
BTC/USDT,3.0,2.0,2.0,0.5,919,0.1425462459194777,-0.00024323147219479678,-0.0021432314721947965,-216.18639900040262,0.11903238954203789
BTC/USDT,3.0,2.0,2.0,1.0,902,0.24390243902439024,-0.0003328895974460085,-0.002232889597446008,-148.6922193491848,0.19091987067109512
BTC/USDT,3.0,2.0,2.0,1.5,885,0.3254237288135593,-0.00026681399669530227,-0.0021668139966953023,-116.73229875826893,0.24304629035601297
BTC/USDT,3.0,2.5,1.0,0.5,702,0.08404558404558404,-0.00045796088553221704,-0.002357960885532217,-355.61927606674186,0.02309435866470887
BTC/USDT,3.0,2.5,1.0,1.0,700,0.15857142857142856,-0.0006101973279671521,-0.0025101973279671517,-227.38774986274964,0.046682255984993315
BTC/USDT,3.0,2.5,1.0,1.5,696,0.22413793103448276,-0.0005116759595523501,-0.00241167595955235,-168.32428777209103,0.06950436788860927
BTC/USDT,3.0,2.5,1.5,0.5,702,0.12535612535612536,-0.00034285464581664384,-0.002242854645816644,-268.7444142966023,0.06863910567180466
BTC/USDT,3.0,2.5,1.5,1.0,693,0.23376623376623376,-0.0004517207096885391,-0.002351720709688539,-178.83674858322502,0.12279869374390757
BTC/USDT,3.0,2.5,1.5,1.5,687,0.3260553129548763,-0.000384315392735571,-0.002284315392735571,-136.18986006786253,0.16704870805939226
BTC/USDT,3.0,2.5,2.0,0.5,700,0.12142857142857143,-0.00032627517082596075,-0.002226275170825961,-238.76314594986877,0.09948725772730117
BTC/USDT,3.0,2.5,2.0,1.0,688,0.22674418604651161,-0.00040209686757237023,-0.0023020968675723703,-156.4499097942436,0.17640044417986678
BTC/USDT,3.0,2.5,2.0,1.5,682,0.32697947214076245,-0.00028672460156903816,-0.002186724601569038,-117.48504563569304,0.24026757554360895
BTC/USDT,5.0,1.5,1.0,0.5,556,0.09172661870503597,-0.00044519900865603104,-0.002345199008656031,-325.5704335983252,0.029055515420193773
BTC/USDT,5.0,1.5,1.0,1.0,554,0.17509025270758122,-0.0005889627763578021,-0.002488962776357802,-210.01260505050328,0.05910386368993906
BTC/USDT,5.0,1.5,1.0,1.5,549,0.24043715846994534,-0.0005376854491665679,-0.002437685449166568,-159.88534566763127,0.07970238681900563
